"PID","zs_class","SDO","zsm","lnktfate","soli","support","impact","impact_uc","impact_wc","zs_class_1","zs_class_2","zs_class_3R","SDO_1","SDO_2","SDO_3R","SDO_4R","SDO_5","SDO_6","SDO_7R","SDO_8R","zsm_1","zsm_2","zsm_3","zsm_4","zsm_5R","zsm_6","zsm_7R","soli_1","soli_2","soli_3","soli_4","soli_5","soli_6","ideo_con","ideo_lib","ideo_demsoc","ideo_lbrtn","ideo_prog","party_id","vote_2020","vote_2024","policy","blockorder","soli_first","att_1","age","gender","race","edu","income","class","feedback"
"SP369gx",4,2.625,2.42857142857143,4,4.16666666666667,4,0,-1,1,4,4,4,2,2,4,3,3,2,3,2,3,2,2,3,3,2,2,4,5,4,4,4,4,2,2,1,3,3,"Independent","Joe Biden","Joe Biden","debt","wordlviews_first",0,1,30,"woman","White","4yearColl","$40,001-$60,000","Upper Middle Class",NA
"AK228id",6,1.625,5.85714285714286,5,6,6,0,-1,1,7,5,6,1,1,2,1,2,2,2,2,5,5,7,5,6,6,7,5,7,6,6,7,5,1,5,NA,NA,3,"Democrat","Joe Biden","Joe Biden","weed","policy_first",1,1,32,"man","White","4yearColl","$40,001-$60,000","Working Class",NA
"QX245mb",2,4.375,2,6,5.83333333333333,1,-6,-3,-3,2,2,2,5,2,3,5,6,6,5,3,2,2,2,2,2,2,2,6,6,6,6,6,5,7,1,1,1,1,"Republican","Donald Trump","Donald Trump","climate","wordlviews_first",0,1,47,"man","White","4yearColl","$120,001-$140,000","Middle Class",NA
"HB266fr",3.66666666666667,5.125,1.71428571428571,6,5.5,4,0,1,-1,5,2,4,5,6,1,3,7,7,6,6,2,1,1,5,1,1,1,7,6,6,5,5,4,6,1,1,5,1,"Republican","Donald Trump","Donald Trump","housing","policy_first",0,1,28,"man","White","4yearColl","$0-$20,000","Lower Class",NA
"BI546od",5,5.25,2.85714285714286,6,4.66666666666667,2,1,-1,2,5,5,5,3,6,3,6,7,6,6,5,3,2,3,3,3,3,3,5,5,4,6,4,4,5,3,1,3,1,"Republican","Donald Trump","Donald Trump","health","policy_first",0,1,39,"man","White","4yearColl","$40,001-$60,000","Lower Middle Class",NA
"EA904oz",5.33333333333333,1.875,2.42857142857143,5,6,4,0,0,0,5,5,6,1,1,2,2,2,2,3,2,3,3,2,2,3,2,2,7,6,6,5,6,6,2,6,5,5,6,"Democrat","Joe Biden","Joe Biden","housing","policy_first",0,1,34,"woman","White","4yearColl","$40,001-$60,000","Middle Class",NA
"QJ507ec",7,1,3.57142857142857,7,7,7,3,0,3,7,7,7,1,1,1,1,1,1,1,1,4,4,1,4,4,4,4,7,7,7,7,7,7,1,6,6,5,7,"Democrat","Joe Biden","Joe Biden","minwage","policy_first",0,1,40,"man","White","GED","$20,001-$40,000","Working Class",NA
"MB687lb",5.33333333333333,3.125,3.57142857142857,5,5.16666666666667,7,4,1,3,5,6,5,3,2,3,2,3,6,3,3,3,4,3,4,3,4,4,6,5,5,5,5,5,2,4,4,1,3,"Democrat","Joe Biden","Joe Biden","health","policy_first",0,1,23,"man","White","4yearColl","$40,001-$60,000","Middle Class",NA
"PM305dr",6.33333333333333,2,4.42857142857143,6,6,6,1,0,1,7,6,6,3,2,2,2,1,2,2,2,3,5,5,3,5,5,5,6,6,6,6,6,6,2,4,1,2,6,"Democrat","Joe Biden","Joe Biden","debt","wordlviews_first",1,1,20,"man","multiracial","4yearColl","$60,001-$80,000","Middle Class",NA
"WY157ph",1.66666666666667,4.375,2.14285714285714,5,4.66666666666667,2,-1,-1,0,2,2,1,3,3,1,7,7,7,3,4,2,2,2,4,2,1,2,4,5,4,5,6,4,6,4,1,5,1,"Republican","Donald Trump","Donald Trump","minwage","policy_first",0,1,34,"man","White","PHD","$80,001-$100,000","Middle Class","None"
