"PID","Status","Progress","Duration..in.seconds.","Finished","consent","zs_class_1","zs_class_2","zs_class_3","SDO_1","SDO_2","SDO_3","SDO_4","SDO_5","SDO_6","SDO_7","SDO_8","zsm_1","zsm_2","zsm_3","zsm_4","zsm_5","zsm_6","zsm_7","check_1","soli_1","soli_2","soli_3","soli_4","soli_5","soli_6","lnktfate","support","impact_groups_1","impact_groups_2","impact_groups_DO_1","impact_groups_DO_2","ideo_1","ideo_2","ideo_3","ideo_4","ideo_5","ideo_DO_1","ideo_DO_2","ideo_DO_3","ideo_DO_4","ideo_DO_5","vote_2024_6_TEXT","age","gender_.99_TEXT","race_8_TEXT","class_7_TEXT","feedback","policy","FL_57_DO_FL_58","FL_57_DO_FL_59","FL_57_DO_FL_60","FL_57_DO_FL_61","FL_57_DO_FL_62","FL_57_DO_FL_63","FL_64_DO_FL_65","FL_64_DO_FL_74","FL_65_DO_Zero.sum.class","FL_65_DO_SDO","FL_65_DO_Zero.summindset","FL_65_DO_ClassSolidarity","FL_65_DO_LinkedFate","Zero.sum.class_DO_zs_class_1","Zero.sum.class_DO_intro","Zero.sum.class_DO_zs_class_3","Zero.sum.class_DO_zs_class_2","SDO_DO_intro","SDO_DO_SDO_1","SDO_DO_SDO_2","SDO_DO_SDO_3","SDO_DO_SDO_4","SDO_DO_SDO_5","SDO_DO_SDO_6","SDO_DO_SDO_7","SDO_DO_SDO_8","Zero.summindset_DO_intro","Zero.summindset_DO_zsm_4","Zero.summindset_DO_zsm_1","Zero.summindset_DO_zsm_5","Zero.summindset_DO_zsm_6","Zero.summindset_DO_check_1","Zero.summindset_DO_zsm_7","Zero.summindset_DO_zsm_2","Zero.summindset_DO_zsm_3","ClassSolidarity_DO_soli_6","ClassSolidarity_DO_intro","ClassSolidarity_DO_soli_4","ClassSolidarity_DO_soli_2","ClassSolidarity_DO_soli_5","ClassSolidarity_DO_soli_1","ClassSolidarity_DO_soli_3","Support.impact_DO_support","Support.impact_DO_impact_groups","party_id","vote_2020","vote_2024","gender","class","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","income","edu"
"VM716ln","0","100","91","1","1","5","5","5","3","3","5","5","5","5","5","5","3","3","3","3","3","3","3","3","3","5","5","3","3","5","3","3","0","-2","1","2","3","4","3","3","4","4","2","3","5","1","","25","","","","","health","","","","","1","","1","2","1","2","3","5","4","3","1","4","2","1","2","9","5","4","7","8","3","6","1","8","9","5","3","7","4","2","6","3","1","6","7","2","4","5","2","1","Independent","Joe Biden","I will not vote","man","Middle Class","","","","Asian","","","","","$80,001-$100,000","4yearColl"
"SP369gx","0","100","133","1","1","4","4","4","2","2","4","5","3","2","5","6","3","2","2","3","5","2","6","5","4","5","4","4","4","4","4","4","1","-1","1","2","2","2","1","3","3","5","3","1","4","2","","30","","","","","debt","","1","","","","","1","2","3","1","2","5","4","2","1","3","4","1","2","6","5","9","4","7","8","3","1","7","2","8","4","9","3","5","6","3","1","5","2","7","4","6","1","2","Independent","Joe Biden","Joe Biden","woman","Upper Middle Class","White","","","","","","","","$40,001-$60,000","4yearColl"
"AK228id","0","100","128","1","1","7","5","2","1","1","6","7","2","2","6","6","5","5","7","5","2","6","1","5","5","7","6","6","7","5","5","6","1","-1","1","2","1","5","","","3","5","2","3","1","4","","32","","","","","weed","","","","","","1","2","1","2","5","4","1","3","2","1","3","4","1","7","8","6","4","5","2","3","9","1","8","3","4","6","5","9","2","7","3","1","7","5","4","6","2","1","2","Democrat","Joe Biden","Joe Biden","man","Working Class","White","","","","","","","","$40,001-$60,000","4yearColl"
"QX245mb","0","100","133","1","1","2","2","6","5","2","5","3","6","6","3","5","2","2","2","2","6","2","6","5","6","6","6","6","6","5","6","1","-3","-3","2","1","7","1","1","1","1","1","2","5","3","4","","47","","","","","climate","","","1","","","","1","2","1","3","2","5","4","3","1","4","2","1","9","8","4","2","5","6","7","3","1","2","6","8","4","7","5","3","9","4","1","7","5","6","2","3","2","1","Republican","Donald Trump","Donald Trump","man","Middle Class","White","","","","","","","","$120,001-$140,000","4yearColl"
"HB266fr","0","100","159","1","1","5","2","4","5","6","7","5","7","7","2","2","2","1","1","5","7","1","7","5","7","6","6","5","5","4","6","4","-1","1","1","2","6","1","1","5","1","5","1","2","4","3","","28","","","","","housing","","","","1","","","2","1","2","3","5","4","1","4","1","2","3","1","3","2","4","5","9","8","7","6","1","2","3","8","4","9","6","5","7","3","1","6","2","4","5","7","2","1","Republican","Donald Trump","Donald Trump","man","Lower Class","White","","","","","","","","$0-$20,000","4yearColl"
"BI546od","0","100","163","1","1","5","5","3","3","6","5","2","7","6","2","3","3","2","3","3","5","3","5","5","5","5","4","6","4","4","6","2","2","-1","2","1","5","3","1","3","1","4","2","3","5","1","","39","","","","","health","","","","","1","","2","1","2","1","4","3","5","2","1","4","3","1","2","8","3","9","7","6","4","5","1","7","5","3","9","4","2","6","8","5","1","3","6","7","2","4","1","2","Republican","Donald Trump","Donald Trump","man","Lower Middle Class","White","","","","","","","","$40,001-$60,000","4yearColl"
"EA904oz","0","100","170","1","1","5","5","2","1","1","6","6","2","2","5","6","3","3","2","2","5","2","6","5","7","6","6","5","6","6","5","4","0","0","2","1","2","6","5","5","6","4","3","5","2","1","","34","","","","","housing","","","","1","","","2","1","5","2","4","3","1","2","1","4","3","1","4","6","3","8","7","9","5","2","1","6","9","5","4","2","3","7","8","3","1","5","6","4","7","2","1","2","Democrat","Joe Biden","Joe Biden","woman","Middle Class","White","","","","","","","","$40,001-$60,000","4yearColl"
"QJ507ec","0","100","163","1","1","7","7","1","1","1","7","7","1","1","7","7","4","4","1","4","4","4","4","5","7","7","7","7","7","7","7","7","3","0","2","1","1","6","6","5","7","3","4","2","1","5","","40","","","","","minwage","1","","","","","","2","1","2","1","3","4","5","4","1","2","3","1","4","3","6","5","9","2","7","8","1","9","7","3","6","4","2","8","5","4","1","2","6","5","7","3","2","1","Democrat","Joe Biden","Joe Biden","man","Working Class","White","","","","","","","","$20,001-$40,000","GED"
"MB687lb","0","100","124","1","1","5","6","3","3","2","5","6","3","6","5","5","3","4","3","4","5","4","4","5","6","5","5","5","5","5","5","7","3","1","2","1","2","4","4","1","3","5","1","2","4","3","","23","","","","","health","","","","","1","","2","1","3","1","5","2","4","3","1","4","2","1","8","3","7","9","5","2","6","4","1","4","9","7","8","5","3","6","2","2","1","5","3","6","4","7","2","1","Democrat","Joe Biden","Joe Biden","man","Middle Class","White","","","","","","","","$40,001-$60,000","4yearColl"
"PM305dr","0","100","174","1","1","7","6","2","3","2","6","6","1","2","6","6","3","5","5","3","3","5","3","5","6","6","6","6","6","6","6","6","1","0","1","2","2","4","1","2","6","4","3","5","2","1","","20","","","","","debt","","1","","","","","1","2","5","3","4","1","2","2","1","4","3","1","8","4","6","7","3","2","5","9","1","2","7","5","8","3","6","4","9","2","1","5","6","7","3","4","1","2","Democrat","Joe Biden","Joe Biden","man","Middle Class","White","Hispanic, Latino, or Spanish origin","","","","","","","$60,001-$80,000","4yearColl"
